date,underlying_pct,composition_pct,raw_mean_pct,total_fitted_pct,n_obs_curr,n_obs_base,r2_curr,r2_base
2016-02-01,2.399319692405122,0.6922132784323409,3.0954128176927,3.0954128176928997,50172,50071,0.0037,0.0044
2016-03-01,2.463504582992271,0.5529381524019161,3.0432862959606233,3.043286295960823,50605,50197,0.6413,0.6279
2016-04-01,1.8506351814260302,0.773869445452724,2.669569191604526,2.669569191604726,50901,50247,0.6357,0.6271
2016-05-01,1.5473542350477931,0.4731625272197615,2.061490327231952,2.0614903272321516,52820,51653,0.6369,0.6375
2016-06-01,1.2546238696040213,0.356071375478928,1.6465993773129073,1.6465993773130405,53045,52290,0.6434,0.6352
2016-07-01,1.310328934780225,0.11000344111216087,1.4401513451490544,1.4401513451490544,52325,52353,0.6445,0.6401
2016-08-01,1.3779556263348258,0.03883214357709441,1.4372904832543165,1.437290483254361,52319,53013,0.6445,0.6352
2016-09-01,1.426153119662521,-0.00764797346058943,1.4443637813480903,1.444363781348068,51793,52194,0.6317,0.6284
2016-10-01,1.4623861297528906,-0.049040629585594964,1.445735082123356,1.4457350821235115,51854,52089,0.6317,0.6331
2016-11-01,1.4802759138733856,-0.11639209406795192,1.3946553324666988,1.3946553324666988,51632,51359,0.6361,0.6325
2016-12-01,1.4516298338300926,-0.20579005399997685,1.2917969589168132,1.2917969589168132,51517,50495,0.6341,0.6338
2017-01-01,1.4000455273300405,-0.18695925725074058,1.2684208259468477,1.2684208259467145,50990,49881,0.6307,0.6368
2017-02-01,1.333857458080634,-0.15652527278995354,1.2385088632763663,1.2385088632763441,51319,50192,0.6325,0.6396
2017-03-01,1.160314323016709,-0.04620271900523942,1.1603583744890678,1.16035837448909,51257,50605,0.6337,0.6413
2017-04-01,1.2397449707669317,-0.02288766457539948,1.2491801037266326,1.249180103726677,51518,50901,0.6349,0.6357
2017-05-01,1.428250367071393,0.0760264371151953,1.5121337804119284,1.5121337804118395,53292,52820,0.632,0.6369
2017-06-01,1.7227539718961626,0.046187735257641194,1.7652064614304575,1.765206461430413,54048,53045,0.6297,0.6434
2017-07-01,1.9052238804135202,0.10256622301580975,2.003002377100782,2.0030023771006267,53335,52325,0.6391,0.6445
2017-08-01,1.9792531315965034,0.128374960173816,2.1154094658027756,2.1154094658025313,53255,52319,0.6368,0.6445
2017-09-01,2.134298956914127,0.13331195090127146,2.2815076932657608,2.2815076932655387,52971,51793,0.6246,0.6317
2017-10-01,2.061597142533844,0.14040446278493768,2.234765434109165,2.234765434109076,52729,51854,0.6325,0.6317
2017-11-01,2.1777804030098435,0.07421859835461397,2.279491471340833,2.2794914713408554,52353,51632,0.6373,0.6361
2017-12-01,2.5639413201100414,0.07904360030708268,2.671613301580633,2.6716133015806554,52196,51517,0.6386,0.6341
2018-01-01,3.067831492905726,0.008205158833041182,3.0891291369288254,3.0891291369290252,50872,50990,0.6286,0.6307
2018-02-01,3.418792614790389,-0.04304668147669943,3.3938139907155884,3.3938139907158105,51311,51319,0.6272,0.6325
2018-03-01,3.6045375041886096,-0.07970085429434004,3.5346991028849306,3.534699102884953,51332,51257,0.6316,0.6337
2018-04-01,3.808005318435459,-0.046636818893441845,3.7682588810205253,3.7682588810203033,51804,51518,0.6158,0.6349
2018-05-01,4.0237773938626376,-0.04438243042229617,3.9852177405733435,3.9852177405732547,53364,53292,0.6251,0.632
2018-06-01,4.130536195505141,-0.10621631680578503,4.032913323326581,4.032913323326492,53425,54048,0.624,0.6297
2018-07-01,3.9459505972991638,-0.14760693586199913,3.7976905337020472,3.7976905337021583,52683,53335,0.6231,0.6391
2018-08-01,3.713176896463022,-0.21882719433532483,3.4673298581755496,3.467329858175683,52111,53255,0.6235,0.6368
2018-09-01,3.485185714271277,-0.12802227368332586,3.3082740463348914,3.30827404633518,51783,52971,0.6129,0.6246
2018-10-01,3.5117841090833712,-0.140108303248343,3.3204626943558857,3.320462694355908,51493,52729,0.6158,0.6325
2018-11-01,3.5258110865352243,-0.05214058245991415,3.4398511230037565,3.439851123003712,51165,52353,0.6145,0.6373
2018-12-01,3.4346891741909635,-0.116933115027118,3.2865584994368646,3.28655849943682,50796,52196,0.6108,0.6386
2019-01-01,3.2319157553375444,-0.09008612397396476,3.10098802528751,3.1009880252874877,50333,50872,0.6168,0.6286
2019-02-01,3.0373368717536042,-0.08911017071061567,2.9135656623693773,2.9135656623692885,50517,51311,0.6125,0.6272
2019-03-01,2.9001948054339755,-0.07632642580953641,2.8170072435229843,2.81700724352294,50692,51332,0.6098,0.6316
2019-04-01,2.7348587668068802,0.05674215398070448,2.828722460550037,2.828722460550148,51128,51804,0.6137,0.6158
2019-05-01,2.6621094471599216,0.27490518023338684,2.997532352189336,2.9975323521892028,52400,53364,0.6171,0.6251
2019-06-01,2.5437139135384257,0.6851321238337205,3.2863286164979577,3.286328616497869,53042,53425,0.6233,0.624
