date,value,is_forecast,fy_label
1984-03-31,-32.4,0,1983-84
1985-03-31,-37.2,0,1984-85
1986-03-31,-33.4,0,1985-86
1987-03-31,-29.8,0,1986-87
1988-03-31,-29.0,0,1987-88
1989-03-31,-27.9,0,1988-89
1990-03-31,-29.1,0,1989-90
1991-03-31,-33.9,0,1990-91
1992-03-31,-32.3,0,1991-92
1993-03-31,-39.0,0,1992-93
1994-03-31,-38.5,0,1993-94
1995-03-31,-36.6,0,1994-95
1996-03-31,-30.0,0,1995-96
1997-03-31,-8.7,0,1996-97
1998-03-31,3.0,0,1997-98
1999-03-31,5.8,0,1998-99
2000-03-31,14.3,0,1999-00
2001-03-31,19.9,0,2000-01
2002-03-31,8.0,0,2001-02
2003-03-31,6.6,0,2002-03
2004-03-31,9.1,0,2003-04
2005-03-31,1.5,0,2004-05
2006-03-31,13.2,0,2005-06
2007-03-31,13.8,0,2006-07
2008-03-31,9.6,0,2007-08
2009-03-31,-9.1,0,2008-09
2010-03-31,-56.4,0,2009-10
2011-03-31,-35.0,0,2010-11
2012-03-31,-28.0,0,2011-12
2013-03-31,-21.3,0,2012-13
2014-03-31,-8.1,0,2013-14
2015-03-31,-0.6,0,2014-15
2016-03-31,-2.9,0,2015-16
2017-03-31,-19.0,0,2016-17
2018-03-31,-19.0,0,2017-18
2019-03-31,-14.0,0,2018-19
2020-03-31,-39.4,0,2019-20
2021-03-31,-327.7,0,2020-21
2022-03-31,-90.3,0,2021-22
2023-03-31,-35.3,0,2022-23
2024-03-31,-61.9,0,2023-24
2025-03-31,-36.3,0,2024-25
2026-03-31,-66.9,1,2025-26
2027-03-31,-65.3,1,2026-27
2028-03-31,-63.1,1,2027-28
2029-03-31,-57.7,1,2028-29
2030-03-31,-56.2,1,2029-30
2031-03-31,-53.2,1,2030-31
