date,value
1987-01-01,81.1
1987-04-01,82.3
1987-07-01,84.8
1987-10-01,86.2
1988-01-01,86.2
1988-04-01,86.4
1988-07-01,85.5
1988-10-01,84.6
1989-01-01,84.8
1989-04-01,84.3
1989-07-01,83.3
1989-10-01,84.1
1990-01-01,83.5
1990-04-01,83.5
1990-07-01,82.1
1990-10-01,80.0
1991-01-01,78.5
1991-04-01,78.8
1991-07-01,79.6
1991-10-01,80.0
1992-01-01,78.8
1992-04-01,78.6
1992-07-01,78.8
1992-10-01,79.3
1993-01-01,80.4
1993-04-01,80.7
1993-07-01,80.7
1993-10-01,81.3
1994-01-01,81.6
1994-04-01,83.3
1994-07-01,84.3
1994-10-01,84.8
1995-01-01,84.9
1995-04-01,83.1
1995-07-01,82.2
1995-10-01,82.0
1996-01-01,82.1
1996-04-01,82.2
1996-07-01,83.5
1996-10-01,83.1
1997-01-01,84.0
1997-04-01,84.3
1997-07-01,85.4
1997-10-01,85.6
1998-01-01,85.6
1998-04-01,84.7
1998-07-01,83.7
1998-10-01,84.0
1999-01-01,84.8
1999-04-01,84.2
1999-07-01,84.8
1999-10-01,85.4
2000-01-01,85.0
2000-04-01,84.8
2000-07-01,85.1
2000-10-01,85.2
2001-01-01,83.9
2001-04-01,83.7
2001-07-01,82.3
2001-10-01,81.6
2002-01-01,83.2
2002-04-01,84.2
2002-07-01,84.1
2002-10-01,83.6
2003-01-01,83.6
2003-04-01,82.9
2003-07-01,83.4
2003-10-01,84.9
2004-01-01,84.8
2004-04-01,85.3
2004-07-01,85.7
2004-10-01,85.7
2005-01-01,85.5
2005-04-01,85.7
2005-07-01,85.9
2005-10-01,86.2
2006-01-01,86.2
2006-04-01,85.3
2006-07-01,84.4
2006-10-01,84.0
2007-01-01,85.2
2007-04-01,85.4
2007-07-01,84.8
2007-10-01,82.9
2008-01-01,80.9
2008-04-01,80.6
2008-07-01,80.9
2008-10-01,78.7
2009-01-01,73.8
2009-04-01,71.8
2009-07-01,73.0
2009-10-01,75.4
2010-01-01,77.8
2010-04-01,79.0
2010-07-01,79.3
2010-10-01,79.4
2011-01-01,80.1
2011-04-01,79.7
2011-07-01,81.3
2011-10-01,81.4
2012-01-01,81.1
2012-04-01,81.3
2012-07-01,80.3
2012-10-01,79.7
2013-01-01,80.5
2013-04-01,80.0
2013-07-01,80.1
2013-10-01,80.7
2014-01-01,80.5
2014-04-01,81.6
2014-07-01,81.5
2014-10-01,82.2
2015-01-01,80.7
2015-04-01,79.4
2015-07-01,80.0
2015-10-01,79.2
2016-01-01,79.1
2016-04-01,77.5
2016-07-01,78.6
2016-10-01,78.9
2017-01-01,78.8
2017-04-01,79.1
2017-07-01,79.7
2017-10-01,80.5
2018-01-01,82.0
2018-04-01,82.2
2018-07-01,81.7
2018-10-01,80.5
2019-01-01,79.8
2019-04-01,81.3
2019-07-01,80.4
2019-10-01,80.0
2020-01-01,79.4
2020-04-01,69.6
2020-07-01,76.3
2020-10-01,78.4
2021-01-01,79.9
2021-04-01,80.1
2021-07-01,79.5
2021-10-01,80.1
2022-01-01,80.8
2022-04-01,81.5
2022-07-01,81.2
2022-10-01,80.5
2023-01-01,80.7
2023-04-01,80.5
2023-07-01,80.0
2023-10-01,79.2
2024-01-01,78.5
2024-04-01,78.9
2024-07-01,78.5
2024-10-01,78.4
2025-01-01,78.5
2025-04-01,78.0
2025-07-01,78.9
2025-10-01,78.5
